threshold,precision,recall,f1,customers_contacted,expected_saved_revenue,total_contact_cost,net_value
0.7800000000000001,0.867,0.104,0.186,45,867.81,675.0,192.81
0.7900000000000001,0.854,0.094,0.169,41,810.98,615.0,195.98
0.8000000000000002,0.833,0.08,0.146,36,707.96,540.0,167.96
0.8100000000000002,0.885,0.061,0.115,26,513.61,390.0,123.61
0.8200000000000002,0.867,0.035,0.067,15,325.15,225.0,100.15
0.8300000000000002,0.9,0.024,0.047,10,230.29,150.0,80.29
0.8400000000000002,0.833,0.013,0.026,6,146.9,90.0,56.9
0.8500000000000002,0.75,0.008,0.016,4,97.63,60.0,37.63
0.8600000000000002,0.75,0.008,0.016,4,97.63,60.0,37.63
0.8700000000000001,1.0,0.003,0.005,1,25.07,15.0,10.07
0.8800000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0
0.8900000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0
0.9000000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0
0.9100000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0
0.9200000000000002,0.0,0.0,0.0,0,0.0,0.0,0.0
0.9300000000000002,0.0,0.0,0.0,0,0.0,0.0,0.0
0.9400000000000002,0.0,0.0,0.0,0,0.0,0.0,0.0
